"File Name"	"Magnification"	"AcceleratingVoltageV"	"EmissionCurrentNA"	"WorkingDistanceUm"	"SignalName"	"Vacuum"	"MicronMarkerNm"	"SpecimenBias"	"SpotSize"	"Author"	"LocationPlace"	"LocationInstitution"	"Genus"	"Species"	"Subfamily"	"Family"	"Superfamily"	"Suborder"	"SexStage"	"View"	"DeviceMakerAndModel"	"ImageType"	"MountedParts"	"Comments"	"Order"	"Project"	"IDPreparation"	"Side"	"Copyright"	"IsLegacy"	"Contributor"	"OriginalFileName"	"LegacyReference"	"LegacyAuthorizedPublicRelease"	"ContainsScale"	"ImageWidthUm"	"AssociatedFileNameImageData"	"PixelSizeNm"	"SpeciesAutorDate"	"SpecimenOldCode"	"IsTypeSpecies"	"IDVoucher"	"PreparationType"	"PreparationAuthor"	"PreparationNotes"	"ATOLARAnumber"	"CollectionCode"	"Country"	"ProvRegionState"	"DistrictCountyMunicipality"	"Locality"	"IsTypeLocality"	"LAT"	"LONG"	"CollectedBy"	"AcquiredFrom"	"DD1"	"MM1"	"YYYY1"	"DD2"	"MM2"	"YYYY2"	"altitude"	"HabitatAndCollectionMethod"	"IdentifiedBy"	"IdentifiedDate"	"IdentificationNotes"	"VoucherRepository"	"SpecimenNotes"	"IdentificationString"	"SpeciesCode"	"OtherSpecimenCode"	"VoucherAvailable"	"DateCreated"	"TimeCreated"	"StandardViewsIDs"	"SmallerRegionsIDs"	"TerminalNameInMatrix"

"344_Phanotea_sathegyna_MM_exppalp.jpg"										"C. Griswold"	"San Francisco"	"CAS"	"Phanotea"	"Phanotea sathegyna"		"Zoropsidae"		"Araneomorphae"	"male"			"drawing"			"Araneae"			"right"	"2006 C. Griswold"	No	"C. Griswold"								"Griswold, 1994"			"n/a"		"Charles Griswold"				"South Africa"	"Cape Province"		"Storms Rivier"																	"CAS"					Yes			"344"	"177"	"Phanotea"

"344_Phanotea_sathegyna_MM_exppalp__resize.jpg"										"C. Griswold"	"San Francisco"	"CAS"	"Phanotea"	"Phanotea sathegyna"		"Zoropsidae"		"Araneomorphae"	"male"			"drawing"			"Araneae"			"right"	"2006 C. Griswold"	No	"C. Griswold"								"Griswold, 1994"			"n/a"		"Charles Griswold"				"South Africa"	"Cape Province"		"Storms Rivier"																	"CAS"					Yes			"344"	"177"	"Phanotea"

"344_Stegodyphus_Myanmar_9019370_R_ExpPalp.jpg"										"Charles Griswold"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"male"			"drawing"	"palp"		"Araneae"		"CASENT9019370 pe"	"right"	"Charles Griswold"	No	"Charles Griswold"											"CASENT9019370"	"temporary mount, KOH expanded"	"Charles Griswold"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"344"	"177"	"Stegodyphus"

"35 Stegodyphus_FF 9019370 lateral 12.5X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"left"	"Charles Griswold"	No	"Charles Griswold"	"35 Stegodyphus_FF 9019370 lateral 12.5X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"35"	"1"	"Stegodyphus"

"36 Stegodyphus_MM 9019370 lateral 20X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"male"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 mm"	"left"	"Charles Griswold"	No	"Charles Griswold"	"36 Stegodyphus_MM 9019370 lateral 20X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"36"	"1"	"Stegodyphus"

"365 Stegodyphus_FF 9019370 ventral 20X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"both"	"Charles Griswold"	No	"Charles Griswold"	"365 Stegodyphus_FF 9019370 ventral 20X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"365"	"2"	"Stegodyphus"

"366 Stegodyphus_MM 9019370 ventral 25X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"male"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 mm"	"both"	"Charles Griswold"	No	"Charles Griswold"	"366 Stegodyphus_MM 9019370 ventral 25X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"366"	"2"	"Stegodyphus"

"369 Stegodyphus_FF 9019370 trocIV R vent 80X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"right"	"Charles Griswold"	No	"Charles Griswold"	"369 Stegodyphus_FF 9019370 trocIV R vent 80X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"369"	"107"	"Stegodyphus"

"37 Stegodyphus_FF 9019370 ventral 12.5X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"both"	"Charles Griswold"	No	"Charles Griswold"	"37 Stegodyphus_FF 9019370 ventral 12.5X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"37"	"1"	"Stegodyphus"

"370 Stegod 9019370 F trocI R vent 63X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"right"	"Charles Griswold"	No	"Charles Griswold"	"370 Stegod 9019370 F trocI R vent 63X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"370"	"83"	"Stegodyphus"

"372 Stegodyphus_FF 9019370 legIV L retro 20X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"left"	"Charles Griswold"	No	"Charles Griswold"	"372 Stegodyphus_FF 9019370 legIV L retro 20X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"372"	"24"	"Stegodyphus"

"377 Stegod 9019370 F lateral 10X.jpg"										"Hannah Wood"	"San Francisco"	"CAS"	"Stegodyphus"	"Stegodyphus undet PwintPhyu"		"Eresidae"		"Araneomorphae"	"female"			"automontage photo"	"whole specimen"		"Araneae"		"CASENT9019370 ff"	"right"	"Charles Griswold"	No	"Charles Griswold"	"377 Stegod 9019370 F lateral 10X.tif"										"CASENT9019370"	"temporary mount, alcohol"	"Hannah Wood"			"CASENT9019370"	"Myanmar"	"Magway Division"		" 7.5 km E PwintPhyu (= Pwinbyu) "		"N20º25’26.8”"	" E94º40’11.2”"	" D.Ubick, C. Griswold"		27	9	2,003				"79m "	"webs on Acacia trees "				"CAS"				"DU17"	Yes			"377"	"1"	"Stegodyphus"

